id,name,municipality_id/id,state_id/id,zip,code
city_la_esmeralda_am,La Esmeralda,mun_alto_orinoco_am,state_ve_am,7101,AOR
city_san_fernando_atabapo_am,San Fernando de Atabapo,mun_atabapo_am,state_ve_am,7102,ATA
city_puerto_ayacucho_am,Puerto Ayacucho,mun_atures_am,state_ve_am,7101,ATU
city_isla_raton_am,Isla Ratón,mun_autana_am,state_ve_am,7103,AUT
city_maroa_am,Maroa,mun_maroa_am,state_ve_am,7104,MAR
city_san_juan_manapiare_am,San Juan de Manapiare,mun_manapiare_am,state_ve_am,7105,MAN
city_san_carlos_rio_negro_am,San Carlos de Río Negro,mun_rio_negro_am,state_ve_am,7106,RNE
city_barcelona_an,Barcelona,mun_simon_bolivar_an,state_ve_an,6001,BAR
city_puerto_la_cruz_an,Puerto La Cruz,mun_juan_antonio_sotillo_an,state_ve_an,6023,PLC
city_lecheria_an,Lechería,mun_sotillo_an,state_ve_an,6016,LEC
city_guanta_an,Guanta,mun_guanta_an,state_ve_an,6015,GUA
city_anaco_an,Anaco,mun_anaco_an,state_ve_an,6003,ANA
city_cantaura_an,Cantaura,mun_freites_an,state_ve_an,6002,CAN
city_pariaguan_an,Pariaguán,mun_miranda_an,state_ve_an,6050,PAR
city_clarines_an,Clarines,mun_peñalver_an,state_ve_an,6012,CLA
city_piritu_an,Píritu,mun_piritu_an,state_ve_an,6011,PIR
city_boca_uchire_an,Boca de Uchire,mun_san_juan_capistrano_an,state_ve_an,6027,BUC
city_el_tigre_an,El Tigre,mun_simon_rodriguez_an,state_ve_an,6050,TIG
city_santa_ana_an,Santa Ana,mun_san_jose_g_ana,state_ve_an,6020,SAN
city_achaguas_ap,Achaguas,mun_biruel_ap,state_ve_ap,7002,ACH
city_biruaca_ap,Biruaca,mun_biruaca_ap,state_ve_ap,7003,BIR
city_mantecal_ap,Mantecal,mun_munoz_ap,state_ve_ap,7004,MAN
city_guasdualito_ap,Guasdualito,mun_paez_ap,state_ve_ap,7001,GUA
city_san_jose_camejo_ap,San Juan de Payara,mun_pedro_camejo_ap,state_ve_ap,7005,SJP
city_elorza_ap,Elorza,mun_romulo_gallegos_ap,state_ve_ap,7006,ELO
city_san_fernando_ap,San Fernando de Apure,mun_san_fernando_ap,state_ve_ap,7001,SFE
city_maracay_ar,Maracay,mun_girardot_ar,state_ve_ar,2101,MAR
city_turmero_ar,Turmero,mun_mariño_ar,state_ve_ar,2115,TUR
city_sanmateo_ar,San Mateo,mun_bolivar_ar,state_ve_ar,2120,SMT
city_camatagua_ar,Camatagua,mun_camatiagua_ar,state_ve_ar,2335,CAM
city_san_casimiro_ar,San Casimiro,mun_san_casimiro_ar,state_ve_ar,2333,SCA
city_san_sebastian_ar,San Sebastián,mun_san_sebastian_ar,state_ve_ar,2332,SSE
city_santa_cruz_ar,Santa Cruz,mun_lamas_ar,state_ve_ar,2123,SCR
city_palo_negro_ar,Palo Negro,mun_libertador_ar,state_ve_ar,2118,PNG
city_el_limon_ar,El Limón,mun_mario_briceño_ar,state_ve_ar,2107,ELM
city_las_tejerias_ar,Las Tejerías,mun_santos_michelena_ar,state_ve_ar,2121,LTJ
city_cagua_ar,Cagua,mun_sucre_ar,state_ve_ar,2122,CAG
city_tovar_ar,Tovar,mun_tovar_ar,state_ve_ar,2334,TOV
city_ocumare_ar,Ocumare de la Costa,mun_ocumare_ar,state_ve_ar,2109,OCU
city_san_francisco_ar,San Francisco,mun_miranda_ar,state_ve_ar,2124,SFR
city_el_consejo_ar,El Consejo,mun_jose_rangel_ar,state_ve_ar,2125,CON
city_la_victoria_ar,La Victoria,mun_jose_felix_ribas_ar,state_ve_ar,2126,LVIC
city_santa_rita_ar,Santa Rita,mun_fla_ar,state_ve_ar,2105,SRT
city_paraparal_ar,Paraparal,mun_fla_ar,state_ve_ar,2106,PAR
city_barinas_ba,Barinas,mun_barinas_ba,state_ve_ba,5201,BAR
city_sabaneta_ba,Sabaneta,mun_alberto_arvelo_ba,state_ve_ba,5216,SAB
city_barinitas_ba,Barinitas,mun_bolivar_ba,state_ve_ba,5203,BTS
city_ciudad_bolivia_ba,Ciudad Bolivia,mun_pedraza_ba,state_ve_ba,5209,CBO
city_santa_barbara_ba,Santa Bárbara,mun_ezequiel_zamora_ba,state_ve_ba,5210,SBA
city_obispos_ba,Obispos,mun_obispos_ba,state_ve_ba,5207,OBI
city_libertad_ba,Libertad,mun_rivas_davila_ba,state_ve_ba,5208,LIB
city_ciudad_nutrias_ba,Ciudad de Nutrias,mun_sosa_ba,state_ve_ba,5215,NUT
city_arismendi_ba,Arismendi,mun_arismendi_ba,state_ve_ba,5212,ARI
city_soledad_ba,Soledad,mun_cruz_paredes_ba,state_ve_ba,5214,SOL
city_santa_cruz_ba,Santa Cruz de Guacas,mun_andres_e_blanco_ba,state_ve_ba,5211,SCG
city_ciudad_bolivar_bo,Ciudad Bolívar,mun_her_soto_bo,state_ve_bo,8001,CBL
city_ciudad_guayana_bo,Ciudad Guayana,mun_caroni_bo,state_ve_bo,8050,CGU
city_caicara_orinoco_bo,Caicara del Orinoco,mun_cedeno_bo,state_ve_bo,8011,CAI
city_el_callao_bo,El Callao,mun_el_callao_bo,state_ve_bo,8052,ECA
city_santa_elena_uairen_bo,Santa Elena de Uairén,mun_gran_sabana_bo,state_ve_bo,8015,SEU
city_el_palmar_bo,El Palmar,mun_padre_pedro_chien_bo,state_ve_bo,8013,EPM
city_upata_bo,Upata,mun_pi_ar_bo,state_ve_bo,8054,UPA
city_maripa_bo,Maripa,mun_raul_leoni_bo,state_ve_bo,8017,MRP
city_guasipati_bo,Guasipati,mun_roscio_bo,state_ve_bo,8056,GUA
city_tumeremo_bo,Tumeremo,mun_sifontes_bo,state_ve_bo,8058,TUM
city_aripao_bo,Aripao,mun_sucre_bo,state_ve_bo,8019,ARP
city_valencia_ca,Valencia,mun_valencia_ca,state_ve_ca,2001,VAL
city_naguanagua_ca,Naguanagua,mun_naguanagua_ca,state_ve_ca,2005,NAG
city_sandiego_ca,San Diego,mun_san_diego_ca,state_ve_ca,2006,SAN
city_guacara_ca,Guacara,mun_guacara_ca,state_ve_ca,2015,GUA
city_losguayos_ca,Los Guayos,mun_los_guayos_ca,state_ve_ca,2011,LGU
city_puertocabello_ca,Puerto Cabello,mun_puerto_cabello_ca,state_ve_ca,2050,PTC
city_moron_ca,Morón,mun_juan_jose_mora_ca,state_ve_ca,2055,MOR
city_bejuma_ca,Bejuma,mun_bejuma_ca,state_ve_ca,2040,BEJ
city_montalban_ca,Montalbán,mun_montalban_ca,state_ve_ca,2042,MON
city_miranda_ca,Miranda,mun_miranda_ca,state_ve_ca,2041,MIR
city_güigüe_ca,Güigüe,mun_carlos_arvelo_ca,state_ve_ca,2010,GUI
city_mariara_ca,Mariara,mun_diego_ibarra_ca,state_ve_ca,2017,MAR
city_sanjoaquin_ca,San Joaquín,mun_san_joaquin_ca,state_ve_ca,2018,SJQ
city_tocuyito_ca,Tocuyito,mun_libertador_ca,state_ve_ca,2035,TOC
city_san_carlos_co,San Carlos,mun_san_carlos_co,state_ve_co,2201,SCA
city_tinaquillo_co,Tinaquillo,mun_tinaquillo_co,state_ve_co,2209,TIN
city_tinaco_co,Tinaco,mun_tinaco_co,state_ve_co,2208,TNC
city_macapo_co,Macapo,mun_lima_blanco_co,state_ve_co,2211,MAC
city_el_baul_co,El Baúl,mun_girardot_co,state_ve_co,2212,EBA
city_pao_co,Pao de San Juan Bautista,mun_pao_san_juan_bautista_co,state_ve_co,2213,PAO
city_cojedes_co,Cojedes,mun_anzoategui_co,state_ve_co,2214,COJ
city_las_vegas_co,Las Vegas,mun_romulo_gallegos_co,state_ve_co,2215,LVG
city_ortiz_co,Ortiz,mun_ezequiel_zamora_co,state_ve_co,2216,ORT
city_tucupita_da,Tucupita,mun_tucupita_da,state_ve_da,6401,TUC
city_casacoima_da,Casacoima,mun_casacoima_da,state_ve_da,6402,CAS
city_pedernales_da,Pedernales,mun_pedernales_da,state_ve_da,6403,PED
city_curiapo_da,Curiapo,mun_antonio_diaz_da,state_ve_da,6404,CUR
city_caracas_dc,Caracas,mun_libertador_dc,state_ve_dc,1010,CCS
city_coro_fa,Coro,mun_miranda_fa,state_ve_fa,4101,COR
city_punto_fijo_fa,Punto Fijo,mun_carirubana_fa,state_ve_fa,4102,PFI
city_santa_ana_fa,Santa Ana,mun_bolivar_fa,state_ve_fa,4103,SAN
city_pedregal_fa,Pedregal,mun_democracia_fa,state_ve_fa,4104,PED
city_churuguara_fa,Churuguara,mun_federacion_fa,state_ve_fa,4105,CHU
city_jacura_fa,Jacura,mun_jacura_fa,state_ve_fa,4106,JAC
city_san_luis_fa,San Luis,mun_bolivar_fa,state_ve_fa,4107,SLU
city_tucacas_fa,Tucacas,mun_silva_fa,state_ve_fa,4109,TUC
city_dabajuro_fa,Dabajuro,mun_dabajuro_fa,state_ve_fa,4110,DAB
city_pueblo_nuevo_fa,Pueblo Nuevo,mun_falcon_fa,state_ve_fa,4111,PNU
